ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60607,31,07/26/2020,08/01/2020,16,544,54,1838.4,564,5807,1906,19624.2,0.0,0.1,0,4,0.0,13.5,29591,60607-2020-31,POINT (-87.652727 41.876104)
60636,21,05/17/2020,05/23/2020,60,648,186,2012.2,504,2358,1565,7322.3,0.1,0.2,1,44,3.1,136.6,32203,60636-2020-21,POINT (-87.668597 41.77599)
60647,14,03/29/2020,04/04/2020,40,88,46,100.6,189,498,216,569.1,0.2,0.2,1,1,1.1,1.1,87509,60647-2020-14,POINT (-87.701101 41.921058)
60827,48,11/22/2020,11/28/2020,10,188,35,657.9,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-2020-48,POINT (-87.633087 41.650765)
60605,23,05/31/2020,06/06/2020,7,193,25,701.3,266,1820,967,6613.6,0.0,0.1,0,1,0.0,3.6,27519,60605-2020-23,POINT (-87.623449 41.867824)
60827,37,09/06/2020,09/12/2020,1,107,4,374.4,,807,0,2823.9,0.0,0.1,0,8,0.0,28.0,28577,60827-2020-37,POINT (-87.633087 41.650765)
60612,12,03/15/2020,03/21/2020,18,18,52,52.5,98,111,286,323.5,0.2,0.1,0,0,0.0,0.0,34311,60612-2020-12,POINT (-87.687011 41.88004)
60628,11,03/08/2020,03/14/2020,,,,,7,9,10,13.5,0.0,0.0,0,0,0.0,0.0,66724,60628-2020-11,POINT (-87.621537 41.694192)
60642,17,04/19/2020,04/25/2020,31,74,154,366.3,116,395,574,1955.3,0.3,0.2,0,1,0.0,5.0,20201,60642-2020-17,POINT (-87.657821 41.899935)
60643,13,03/22/2020,03/28/2020,71,95,142,190.5,193,274,387,549.4,0.3,0.3,0,0,0.0,0.0,49870,60643-2020-13,POINT (-87.662381 41.700445)
60651,15,04/05/2020,04/11/2020,118,274,187,433.4,276,691,437,1093,0.4,0.3,6,13,9.5,20.6,63218,60651-2020-15,POINT (-87.741017 41.901964)
60827,38,09/19/2021,09/25/2021,11,433,38,1515.2,,809,0,2830.9,0.0,0.1,0,16,0.0,56.0,28577,60827-2021-38,POINT (-87.633087 41.650765)
60608,24,06/07/2020,06/13/2020,47,1783,59,2251.1,972,7793,1227,9839,0.1,0.2,10,61,12.6,77.0,79205,60608-2020-24,POINT (-87.670366 41.849879)
